原文: 　　  positive_prob: 1.000000  confidence: 1.000000  negative_prob: 0.000000  sentiment: 1.000000  
 原文: 　　  positive_prob: 1.000000  confidence: 1.000000  negative_prob: 0.000000  sentiment: 1.000000  
 原文:     ·事件之章　野野口修的笔记  positive_prob: 0.203705  confidence: 0.547321  negative_prob: 0.796295  sentiment: 0.000000  
 原文:     ·疑惑之章　加贺恭一郎的记录  positive_prob: 0.590405  confidence: 0.089789  negative_prob: 0.409595  sentiment: 2.000000  
 原文:     ·解决之章　野野口修的笔记  positive_prob: 0.330202  confidence: 0.266217  negative_prob: 0.669798  sentiment: 0.000000  
 原文:     ·探究之章　加贺恭一郎的独白  positive_prob: 0.626770  confidence: 0.170600  negative_prob: 0.373230  sentiment: 2.000000  
 原文:     ·告白之章　野野口修的笔记  positive_prob: 0.344163  confidence: 0.235193  negative_prob: 0.655837  sentiment: 0.000000  
 原文:     ·过去之章　其一 加贺恭一郎的记录  positive_prob: 0.633855  confidence: 0.186344  negative_prob: 0.366145  sentiment: 2.000000  
 原文:     ·过去之章　其二 认识他们的人所说的话  positive_prob: 0.615487  confidence: 0.145526  negative_prob: 0.384513  sentiment: 2.000000  
 原文:     ·过去之章　其三 加贺恭一郎的回忆  positive_prob: 0.707774  confidence: 0.350609  negative_prob: 0.292226  sentiment: 2.000000  
 原文:     ·真相之章　加贺恭一郎的阐明  positive_prob: 0.536937  confidence: 0.261255  negative_prob: 0.463063  sentiment: 1.000000  
 原文:    positive_prob: 1.000000  confidence: 1.000000  negative_prob: 0.000000  sentiment: 1.000000  
 原文:    positive_prob: 1.000000  confidence: 1.000000  negative_prob: 0.000000  sentiment: 1.000000  
 原文: 　  positive_prob: 1.000000  confidence: 1.000000  negative_prob: 0.000000  sentiment: 1.000000  
 原文: 　  positive_prob: 1.000000  confidence: 1.000000  negative_prob: 0.000000  sentiment: 1.000000  
 原文: 　  positive_prob: 1.000000  confidence: 1.000000  negative_prob: 0.000000  sentiment: 1.000000  
 原文: 　  positive_prob: 1.000000  confidence: 1.000000  negative_prob: 0.000000  sentiment: 1.000000  
 原文: 　  positive_prob: 1.000000  confidence: 1.000000  negative_prob: 0.000000  sentiment: 1.000000  
 原文: 事件之章　野野口修的笔记  positive_prob: 0.186361  confidence: 0.585863  negative_prob: 0.813639  sentiment: 0.000000  
 原文: 事件之章　野野口修的笔记  positive_prob: 0.186361  confidence: 0.585863  negative_prob: 0.813639  sentiment: 0.000000  
 原文: 事件之章　野野口修的笔记  positive_prob: 0.186361  confidence: 0.585863  negative_prob: 0.813639  sentiment: 0.000000  
 原文: 事件之章　野野口修的笔记  positive_prob: 0.186361  confidence: 0.585863  negative_prob: 0.813639  sentiment: 0.000000  
 原文: 事件之章　野野口修的笔记  positive_prob: 0.186361  confidence: 0.585863  negative_prob: 0.813639  sentiment: 0.000000  
 原文: 　　一  positive_prob: 0.571954  confidence: 0.048786  negative_prob: 0.428046  sentiment: 2.000000  
 原文: 　　一  positive_prob: 0.571954  confidence: 0.048786  negative_prob: 0.428046  sentiment: 2.000000  
 原文: 　　事情发生在四月十六日、星期二。  positive_prob: 0.374859  confidence: 0.166979  negative_prob: 0.625141  sentiment: 0.000000  
 原文: 　　那天下午三点半我从家里出发，前往日高邦彦的住处。日高家距离我住的地方仅隔一站电车的路程，到达车站改搭巴士，再走上一小段路的时间，大约二十分钟到了。  positive_prob: 0.798346  confidence: 0.551880  negative_prob: 0.201654  sentiment: 2.000000  
 原文: 　　平常就算没什么事，我也常到日高家走走，不过那天却是有特别的事要办。这么说好了，要是错过那天，我就再也见不到他了。  positive_prob: 0.198558  confidence: 0.558761  negative_prob: 0.801443  sentiment: 0.000000  
 原文: 　　他的家就座落在美丽整齐的住宅区里，区内清一色是高级住宅，其中偶尔可见一般称之为豪宅的气派房子。这附近曾经是一片杂树林，有不少住家依然在庭院里招原本的林木。围墙内山毛榉和砾树长得十分茂盛，浓密的树荫覆满整条巷道里。  positive_prob: 0.925914  confidence: 0.835365  negative_prob: 0.074086  sentiment: 2.000000  
 原文: 　　严格说起来，这附近的路并没有那么狭窄，可是一律给规划成了单行道。或许讲究行走的安全也是身分地位的一种表徽吧！  positive_prob: 0.108304  confidence: 0.759324  negative_prob: 0.891696  sentiment: 0.000000  
 原文: 　　几年前，当我听到日高买了这附近的房子时，心里就想，果不出所料。对于这个地区长大的少年而言，把家买在这里乃人生必须实现的梦想之一。  positive_prob: 0.807182  confidence: 0.571517  negative_prob: 0.192817  sentiment: 2.000000  
