"(0, 0.97338271)","(1, 0.42093226)","(2, 0.91986954)","(3, 0.82397211)","(4, 0.82408011)","(5, 0.96470046)","(6, 0.98652822)","(7, 0.93599701)","(8, 0.9098025)","(9, 0.92140472)","(10, 0.99000531)","(11, 0.43184954)","(12, 0.89749205)","(13, 0.94555581)","(14, 0.85687709)","(15, 0.98370892)","(16, 0.93800712)","(17, 0.92680311)","(18, 0.82672477)","(19, 0.81564027)","(20, 0.94689047)","(21, 0.8796109)","(22, 0.92315346)","(23, 0.95294476)","(24, 0.92790186)","(25, 0.889135)","(26, 0.85872447)","(27, 0.95951271)","(28, 0.93402565)","(29, 0.95944452)","(30, 0.95715857)","(31, 0.98957598)","(32, 0.48307598)","(33, 0.9296121)","(34, 0.45043314)","(35, 0.37649477)","(36, 0.37851036)","(37, 0.39184871)","(38, 0.38483474)","(39, 0.96256381)","(40, 0.46731862)","(41, 0.9784503)","(42, 0.41900998)","(43, 0.42782944)","(44, 0.38271913)","(45, 0.4098298)","(46, 0.38690841)","(47, 0.63688207)","(48, 0.4560394)","(49, 0.85511953)","(50, 0.94670844)","(51, 0.29490748)","(52, 0.97674632)","(53, 0.96206033)","(54, 0.90723944)","(55, 0.90233499)","(56, 0.9233368)","(57, 0.92312777)","(58, 0.98027039)","(59, 0.89631027)","(60, 0.94838583)","(61, 0.89877325)","(62, 0.93353069)","(63, 0.98443866)","(64, 0.85629493)","(65, 0.41545784)","(66, 0.92033815)","(67, 0.86499375)","(68, 0.41391)","(69, 0.92234731)","(70, 0.8075878)","(71, 0.85129035)","(72, 0.38313469)","(73, 0.37050354)","(74, 0.41947463)","(75, 0.38597867)","(76, 0.37747741)","(77, 0.38176993)","(78, 0.68601167)","(79, 0.69148105)","(80, 0.44002384)","(81, 0.93101192)","(82, 0.29495716)","(83, 0.81564784)","(84, 0.93960178)","(85, 0.41992515)","(86, 0.91826409)","(87, 0.37843937)","(88, 0.38732168)","(89, 0.37090653)","(90, 0.38611069)","(91, 0.43560854)","(92, 0.37325704)","(93, 0.38872808)","(94, 0.40991971)","(95, 0.89175344)","(96, 0.9743346)","(97, 0.43067497)","(98, 0.95224202)","(99, 0.80500245)","(100, 0.97558415)","(101, 0.43685839)","(102, 0.98329979)","(103, 0.7522071)"
"(0, 0.27832967)","(1, 0.99944925)","(2, 0.72565931)","(3, 0.87499762)","(4, 0.86772573)","(5, 0.66500884)","(6, 0.40034014)","(7, 0.72788483)","(8, 0.76504076)","(9, 0.74908149)","(10, 0.44066426)","(11, 0.99979568)","(12, 0.78406978)","(13, 0.71481586)","(14, 0.83632219)","(15, 0.43589669)","(16, 0.70949823)","(17, 0.73578644)","(18, 0.86276841)","(19, 0.0096908621)","(20, 0.71006095)","(21, 0.7824344)","(22, 0.68269926)","(23, 0.67979115)","(24, 0.61195755)","(25, 0.80472219)","(26, 0.80112416)","(27, 0.31202766)","(28, 0.71325547)","(29, 0.6655786)","(30, 0.68876058)","(31, 0.46793026)","(32, 0.99927181)","(33, 0.70452267)","(34, 0.99999768)","(35, 0.0053773918)","(36, 0.0087371664)","(37, 0.014194095)","(38, 0.011995319)","(39, 0.67319226)","(40, 0.99978256)","(41, 0.59877598)","(42, 0.99940044)","(43, 0.99969512)","(44, 0.01677764)","(45, 0.06288062)","(46, 0.013999394)","(47, 0.012795477)","(48, 0.059776302)","(49, 0.84230006)","(50, 0.67443222)","(51, 0.044679862)","(52, 0.41723526)","(53, 0.66230041)","(54, 0.75743103)","(55, 0.73905367)","(56, 0.75699395)","(57, 0.72857893)","(58, 0.43644753)","(59, 0.69651383)","(60, 0.57755589)","(61, 0.7602343)","(62, 0.73758912)","(63, 0.59933573)","(64, 0.41972798)","(65, 0.096655399)","(66, 0.76287609)","(67, 0.68608302)","(68, 0.9992134)","(69, 0.71728736)","(70, 0.56488228)","(71, 0.70868707)","(72, 0.051567774)","(73, 0.032712229)","(74, 0.043241136)","(75, 0.060311474)","(76, 0.024020748)","(77, 0.020890474)","(78, 0.95749366)","(79, 0.95601898)","(80, 0.99994332)","(81, 0.71592045)","(82, 0.04469629)","(83, 0.0096118115)","(84, 0.66173935)","(85, 0.99943268)","(86, 0.76527596)","(87, 0.018176308)","(88, 0.040155977)","(89, 0.019227985)","(90, 0.034514911)","(91, 0.09687838)","(92, 0.023935694)","(93, 0.020946454)","(94, 0.036015965)","(95, 0.80310309)","(96, 0.6330862)","(97, 0.99977702)","(98, 0.68599278)","(99, 0.89155287)","(100, 0.62331921)","(101, 0.20378646)","(102, 0.53963894)","(103, 0.60758913)"
"(0, 0.74419999)","(1, 0.68721819)","(2, 0.98843485)","(3, 0.9369185)","(4, 0.95395142)","(5, 0.95330471)","(6, 0.79786521)","(7, 0.91882962)","(8, 0.97672063)","(9, 0.97416586)","(10, 0.82127488)","(11, 0.70009065)","(12, 0.97504508)","(13, 0.93663657)","(14, 0.963992)","(15, 0.80245757)","(16, 0.97835708)","(17, 0.97701657)","(18, 0.95855153)","(19, 0.43860573)","(20, 0.92937905)","(21, 0.98870885)","(22, 0.99401337)","(23, 0.97212547)","(24, 0.98925418)","(25, 0.96046865)","(26, 0.98786819)","(27, 0.71426213)","(28, 0.98119438)","(29, 0.96803069)","(30, 0.94121766)","(31, 0.83156371)","(32, 0.7344532)","(33, 0.98789072)","(34, 0.71084613)","(35, 0.55937266)","(36, 0.56202096)","(37, 0.57163352)","(38, 0.56690264)","(39, 0.94960046)","(40, 0.72477365)","(41, 0.88769859)","(42, 0.68657678)","(43, 0.69352037)","(44, 0.56801516)","(45, 0.60350746)","(46, 0.56893784)","(47, 0.67946893)","(48, 0.625844)","(49, 0.95665026)","(50, 0.98156071)","(51, 0.53162557)","(52, 0.77938187)","(53, 0.96448046)","(54, 0.98439914)","(55, 0.99362075)","(56, 0.9549287)","(57, 0.98494786)","(58, 0.79445314)","(59, 0.99915314)","(60, 0.97886229)","(61, 0.98870254)","(62, 0.93171036)","(63, 0.92551982)","(64, 0.93185663)","(65, 0.6214838)","(66, 0.94875443)","(67, 0.99836117)","(68, 0.68377626)","(69, 0.98929644)","(70, 0.96496058)","(71, 0.99819261)","(72, 0.58416855)","(73, 0.56880194)","(74, 0.59957767)","(75, 0.58962351)","(76, 0.56857514)","(77, 0.56942165)","(78, 0.8706702)","(79, 0.86546403)","(80, 0.7048561)","(81, 0.98310286)","(82, 0.53166157)","(83, 0.43861282)","(84, 0.85044622)","(85, 0.68717837)","(86, 0.95547193)","(87, 0.56638545)","(88, 0.58124608)","(89, 0.56283301)","(90, 0.57801932)","(91, 0.63219553)","(92, 0.56626916)","(93, 0.57314289)","(94, 0.5912708)","(95, 0.92785746)","(96, 0.91483206)","(97, 0.69630718)","(98, 0.90578812)","(99, 0.91140264)","(100, 0.95298541)","(101, 0.67745835)","(102, 0.94853222)","(103, 0.95647311)"
"(0, 0.7354852)","(1, 0.77438784)","(2, 0.99303645)","(3, 0.9801504)","(4, 0.98888928)","(5, 0.96456379)","(6, 0.80335355)","(7, 0.95356786)","(8, 0.99392396)","(9, 0.99055827)","(10, 0.82913977)","(11, 0.78473353)","(12, 0.99530834)","(13, 0.96321774)","(14, 0.99369466)","(15, 0.81488812)","(16, 0.98627228)","(17, 0.98998106)","(18, 0.99100667)","(19, 0.44290739)","(20, 0.95773375)","(21, 0.99972785)","(22, 0.9860056)","(23, 0.97772294)","(24, 0.96560717)","(25, 0.98989022)","(26, 0.99978578)","(27, 0.72276366)","(28, 0.98820102)","(29, 0.97280663)","(30, 0.96166974)","(31, 0.84255493)","(32, 0.8165009)","(33, 0.98919475)","(34, 0.79529458)","(35, 0.42698336)","(36, 0.42992029)","(37, 0.44006163)","(38, 0.43510506)","(39, 0.96394801)","(40, 0.80737484)","(41, 0.90928525)","(42, 0.77358156)","(43, 0.77979094)","(44, 0.43660873)","(45, 0.47626898)","(46, 0.43731931)","(47, 0.55709302)","(48, 0.4988462)","(49, 0.99031711)","(50, 0.98092687)","(51, 0.40320313)","(52, 0.79423225)","(53, 0.97027874)","(54, 0.99620098)","(55, 0.99615741)","(56, 0.98103136)","(57, 0.99229217)","(58, 0.80934107)","(59, 0.98729897)","(60, 0.95438194)","(61, 0.99787533)","(62, 0.96361017)","(63, 0.93421543)","(64, 0.86515826)","(65, 0.49740782)","(66, 0.97810161)","(67, 0.9776718)","(68, 0.77074313)","(69, 0.99190259)","(70, 0.91356301)","(71, 0.98063952)","(72, 0.45580775)","(73, 0.438741)","(74, 0.47068807)","(75, 0.46206358)","(76, 0.43776774)","(77, 0.43836036)","(78, 0.93207294)","(79, 0.92956775)","(80, 0.78941578)","(81, 0.98946536)","(82, 0.40324005)","(83, 0.44289279)","(84, 0.89450252)","(85, 0.77415228)","(86, 0.98248494)","(87, 0.43508029)","(88, 0.45187637)","(89, 0.43159714)","(90, 0.44815049)","(91, 0.50826836)","(92, 0.43544412)","(93, 0.44211906)","(94, 0.46167541)","(95, 0.96969372)","(96, 0.93426943)","(97, 0.78213131)","(98, 0.93787444)","(99, 0.96467704)","(100, 0.95574796)","(101, 0.56453496)","(102, 0.93278158)","(103, 0.90803659)"
"(0, 0.76682508)","(1, 0.73496586)","(2, 0.99781913)","(3, 0.96949977)","(4, 0.97933745)","(5, 0.97394288)","(6, 0.82780921)","(7, 0.9563598)","(8, 0.99512827)","(9, 0.99318588)","(10, 0.85148168)","(11, 0.74601644)","(12, 0.99470371)","(13, 0.96782923)","(14, 0.98771924)","(15, 0.83678746)","(16, 0.99243122)","(17, 0.993837)","(18, 0.98204666)","(19, 0.47961998)","(20, 0.9624964)","(21, 0.99918681)","(22, 0.99423826)","(23, 0.98629475)","(24, 0.97904485)","(25, 0.98704571)","(26, 0.99724609)","(27, 0.75024021)","(28, 0.99406278)","(29, 0.98247796)","(30, 0.96868443)","(31, 0.86320752)","(32, 0.78039682)","(33, 0.99579662)","(34, 0.75744051)","(35, 0.4555645)","(36, 0.45839694)","(37, 0.46882716)","(38, 0.46367976)","(39, 0.97254062)","(40, 0.77047038)","(41, 0.92179585)","(42, 0.73408782)","(43, 0.74075234)","(44, 0.46480677)","(45, 0.50299025)","(46, 0.46587121)","(47, 0.5964216)","(48, 0.52783501)","(49, 0.98360962)","(50, 0.99002773)","(51, 0.42566505)","(52, 0.81655717)","(53, 0.98014975)","(54, 0.99814689)","(55, 0.99962479)","(56, 0.98249829)","(57, 0.9968369)","(58, 0.83084005)","(59, 0.99392074)","(60, 0.97059971)","(61, 0.99951589)","(62, 0.96603769)","(63, 0.94809383)","(64, 0.8888942)","(65, 0.52238196)","(66, 0.97884673)","(67, 0.98415351)","(68, 0.73102736)","(69, 0.99740201)","(70, 0.92628258)","(71, 0.98505819)","(72, 0.48197654)","(73, 0.46544227)","(74, 0.49900422)","(75, 0.48784554)","(76, 0.4653008)","(77, 0.46627378)","(78, 0.9092564)","(79, 0.90684396)","(80, 0.75107503)","(81, 0.99510759)","(82, 0.42570335)","(83, 0.47961167)","(84, 0.9000417)","(85, 0.73470175)","(86, 0.98321432)","(87, 0.4630006)","(88, 0.47891086)","(89, 0.45911038)","(90, 0.47546175)","(91, 0.53414661)","(92, 0.46278867)","(93, 0.47034702)","(94, 0.48998308)","(95, 0.96597362)","(96, 0.94501817)","(97, 0.74325848)","(98, 0.94379306)","(99, 0.95143056)","(100, 0.96850449)","(101, 0.58403331)","(102, 0.95179319)","(103, 0.91575754)"
"(0, 0.82297719)","(1, 0.64301068)","(2, 0.9959017)","(3, 0.93523431)","(4, 0.94737595)","(5, 0.98173559)","(6, 0.86871469)","(7, 0.950293)","(8, 0.98560363)","(9, 0.98665202)","(10, 0.88768089)","(11, 0.65543658)","(12, 0.98137838)","(13, 0.96554089)","(14, 0.96316981)","(15, 0.87216461)","(16, 0.99337816)","(17, 0.98990262)","(18, 0.95132327)","(19, 0.55009162)","(20, 0.96055472)","(21, 0.98609567)","(22, 0.99973547)","(23, 0.99236095)","(24, 0.99578774)","(25, 0.96900737)","(26, 0.9800142)","(27, 0.79827988)","(28, 0.99438918)","(29, 0.99088532)","(30, 0.97147715)","(31, 0.89570934)","(32, 0.6948784)","(33, 0.99773431)","(34, 0.66852003)","(35, 0.51173896)","(36, 0.51431632)","(37, 0.5252142)","(38, 0.51973522)","(39, 0.97866547)","(40, 0.68339843)","(41, 0.9365294)","(42, 0.64199692)","(43, 0.64953965)","(44, 0.52006054)","(45, 0.55465865)","(46, 0.52185059)","(47, 0.67307389)","(48, 0.58391267)","(49, 0.95752257)","(50, 0.9972527)","(51, 0.46942455)","(52, 0.85301554)","(53, 0.98898184)","(54, 0.99021667)","(55, 0.99499106)","(56, 0.97351807)","(57, 0.99439102)","(58, 0.86541522)","(59, 0.99614316)","(60, 0.99322629)","(61, 0.99098009)","(62, 0.95914805)","(63, 0.96557295)","(64, 0.9287982)","(65, 0.57014221)","(66, 0.96835697)","(67, 0.98634845)","(68, 0.63851207)","(69, 0.99701095)","(70, 0.94262362)","(71, 0.98290801)","(72, 0.53276485)","(73, 0.51755923)","(74, 0.55405754)","(75, 0.53774816)","(76, 0.51915854)","(77, 0.52091384)","(78, 0.85014445)","(79, 0.84790784)","(80, 0.66121805)","(81, 0.99497688)","(82, 0.4694652)","(83, 0.55009681)","(84, 0.90018463)","(85, 0.64269382)","(86, 0.97267967)","(87, 0.51769751)","(88, 0.53154904)","(89, 0.51300722)","(90, 0.52872354)","(91, 0.58364218)","(92, 0.51628488)","(93, 0.52559108)","(94, 0.54513699)","(95, 0.94615793)","(96, 0.95585716)","(97, 0.65236783)","(98, 0.94440901)","(99, 0.9118216)","(100, 0.98351419)","(101, 0.61951351)","(102, 0.98029375)","(103, 0.92179751)"
"(0, 0.90820765)","(1, 0.58492678)","(2, 0.98021609)","(3, 0.91780639)","(4, 0.92078799)","(5, 0.99727666)","(6, 0.9450838)","(7, 0.97660863)","(8, 0.97522652)","(9, 0.98107308)","(10, 0.95791256)","(11, 0.59577858)","(12, 0.96830332)","(13, 0.98589629)","(14, 0.94290292)","(15, 0.94852835)","(16, 0.98909593)","(17, 0.98396188)","(18, 0.92311603)","(19, 0.69153184)","(20, 0.98464251)","(21, 0.95817953)","(22, 0.97845829)","(23, 0.99481475)","(24, 0.97196114)","(25, 0.96156341)","(26, 0.94517571)","(27, 0.89566177)","(28, 0.98731303)","(29, 0.99683189)","(30, 0.99207497)","(31, 0.96332765)","(32, 0.6405952)","(33, 0.98451352)","(34, 0.61170298)","(35, 0.3992784)","(36, 0.40175638)","(37, 0.41427672)","(38, 0.40784967)","(39, 0.9959228)","(40, 0.6270529)","(41, 0.98424792)","(42, 0.58338165)","(43, 0.59137601)","(44, 0.40716335)","(45, 0.44057935)","(46, 0.41006231)","(47, 0.6161238)","(48, 0.47873634)","(49, 0.94073272)","(50, 0.99172914)","(51, 0.33877206)","(52, 0.93596286)","(53, 0.9975239)","(54, 0.97413123)","(55, 0.97033077)","(56, 0.97915906)","(57, 0.98216641)","(58, 0.94430828)","(59, 0.96185839)","(60, 0.98018467)","(61, 0.9693017)","(62, 0.97892189)","(63, 0.99713802)","(64, 0.88300055)","(65, 0.45293036)","(66, 0.97633731)","(67, 0.93764001)","(68, 0.57902879)","(69, 0.98115706)","(70, 0.87327737)","(71, 0.93049181)","(72, 0.41544974)","(73, 0.40047228)","(74, 0.44423527)","(75, 0.41983348)","(76, 0.40439296)","(77, 0.40730557)","(78, 0.81317526)","(79, 0.81579399)","(80, 0.60279828)","(81, 0.98588741)","(82, 0.33881828)","(83, 0.69152898)","(84, 0.95560473)","(85, 0.58418471)","(86, 0.9766379)","(87, 0.40386719)","(88, 0.41640219)","(89, 0.39773545)","(90, 0.41409236)","(91, 0.46998501)","(92, 0.40080217)","(93, 0.41319704)","(94, 0.4345319)","(95, 0.95595509)","(96, 0.99164474)","(97, 0.5940761)","(98, 0.98022163)","(99, 0.90039808)","(100, 0.9998734)","(101, 0.49444872)","(102, 0.99397492)","(103, 0.83653575)"
"(0, 0.82998759)","(1, 0.71030909)","(2, 0.9964956)","(3, 0.97023523)","(4, 0.97326612)","(5, 0.993963)","(6, 0.88684106)","(7, 0.98556888)","(8, 0.9984777)","(9, 0.99966502)","(10, 0.9068175)","(11, 0.72017336)","(12, 0.99651444)","(13, 0.99240541)","(14, 0.98549223)","(15, 0.89651978)","(16, 0.99901074)","(17, 0.99977052)","(18, 0.97468901)","(19, 0.57914406)","(20, 0.98968977)","(21, 0.9902457)","(22, 0.9879958)","(23, 0.99713171)","(24, 0.96955001)","(25, 0.99339217)","(26, 0.98372358)","(27, 0.82296067)","(28, 0.99870002)","(29, 0.99555123)","(30, 0.99287903)","(31, 0.91717434)","(32, 0.75822955)","(33, 0.99581242)","(34, 0.73358679)","(35, 0.37219265)","(36, 0.37500936)","(37, 0.38666776)","(38, 0.38081855)","(39, 0.99397802)","(40, 0.7468816)","(41, 0.96387875)","(42, 0.70905197)","(43, 0.716012)","(44, 0.3813118)","(45, 0.41941357)","(46, 0.38311067)","(47, 0.55244178)","(48, 0.45047301)","(49, 0.98403639)","(50, 0.99498338)","(51, 0.33017942)","(52, 0.88074702)","(53, 0.99503607)","(54, 0.99720609)","(55, 0.99210894)","(56, 0.99728644)","(57, 0.99807411)","(58, 0.89243841)","(59, 0.97860062)","(60, 0.96819264)","(61, 0.99459743)","(62, 0.99068654)","(63, 0.97840816)","(64, 0.85998619)","(65, 0.43715864)","(66, 0.99546468)","(67, 0.95827299)","(68, 0.70537859)","(69, 0.99578226)","(70, 0.8832792)","(71, 0.95697999)","(72, 0.39594236)","(73, 0.37926248)","(74, 0.41810045)","(75, 0.4015328)","(76, 0.38061032)","(77, 0.38234571)","(78, 0.89798397)","(79, 0.89905161)","(80, 0.72609991)","(81, 0.99834508)","(82, 0.33022186)","(83, 0.57912827)","(84, 0.94912398)","(85, 0.7097398)","(86, 0.99696159)","(87, 0.37887263)","(88, 0.39421383)","(89, 0.37398717)","(90, 0.39103547)","(91, 0.45142564)","(92, 0.37759322)","(93, 0.38727295)","(94, 0.40841094)","(95, 0.98482168)","(96, 0.97910595)","(97, 0.71841419)","(98, 0.9790256)","(99, 0.95694017)","(100, 0.98826081)","(101, 0.49508721)","(102, 0.96793854)","(103, 0.86224794)"
"(0, 0.81398928)","(1, 0.6891762)","(2, 0.99982047)","(3, 0.95785284)","(4, 0.96657985)","(5, 0.98688734)","(6, 0.86716872)","(7, 0.96606839)","(8, 0.99525893)","(9, 0.99561453)","(10, 0.8876816)","(11, 0.70049143)","(12, 0.99267662)","(13, 0.9777683)","(14, 0.97946143)","(15, 0.87397003)","(16, 0.99817479)","(17, 0.99723679)","(18, 0.9694345)","(19, 0.54364479)","(20, 0.9733988)","(21, 0.99387372)","(22, 0.99792743)","(23, 0.99561435)","(24, 0.9865939)","(25, 0.98435938)","(26, 0.98865771)","(27, 0.79681265)","(28, 0.99892431)","(29, 0.99352127)","(30, 0.98073721)","(31, 0.89738846)","(32, 0.73837084)","(33, 0.99990857)","(34, 0.71331137)","(35, 0.45533454)","(36, 0.45805922)","(37, 0.46911779)","(38, 0.46358567)","(39, 0.98519671)","(40, 0.72727954)","(41, 0.94460243)","(42, 0.68811566)","(43, 0.69528127)","(44, 0.46416366)","(45, 0.50087142)","(46, 0.46578276)","(47, 0.61811602)","(48, 0.52970135)","(49, 0.97550309)","(50, 0.9980067)","(51, 0.41604987)","(52, 0.85555947)","(53, 0.99194592)","(54, 0.99762964)","(55, 0.99847889)","(56, 0.98644769)","(57, 0.99941361)","(58, 0.86824167)","(59, 0.99329692)","(60, 0.98294902)","(61, 0.99747795)","(62, 0.97397304)","(63, 0.96846688)","(64, 0.90017581)","(65, 0.51808876)","(66, 0.98270047)","(67, 0.98014271)","(68, 0.68466479)","(69, 0.99997866)","(70, 0.92287534)","(71, 0.97844625)","(72, 0.47862452)","(73, 0.46257365)","(74, 0.49920514)","(75, 0.48403555)","(76, 0.46366775)","(77, 0.4652288)","(78, 0.88269854)","(79, 0.88145703)","(80, 0.70615882)","(81, 0.99932861)","(82, 0.41609067)","(83, 0.54364002)","(84, 0.91858447)","(85, 0.68879145)","(86, 0.98615396)","(87, 0.46190661)","(88, 0.47678456)","(89, 0.45733726)","(90, 0.47368383)","(91, 0.53144616)","(92, 0.46082878)","(93, 0.46985102)","(94, 0.48998711)","(95, 0.96639526)","(96, 0.96365929)","(97, 0.69790411)","(98, 0.9583025)","(99, 0.93888891)","(100, 0.98451746)","(101, 0.57336974)","(102, 0.97253382)","(103, 0.90446579)"
"(0, 0.78669071)","(1, 0.70596611)","(2, 0.99897552)","(3, 0.95993567)","(4, 0.97055399)","(5, 0.97824955)","(6, 0.84275746)","(7, 0.95605969)","(8, 0.99376881)","(9, 0.99280798)","(10, 0.86492181)","(11, 0.71749067)","(12, 0.99209076)","(13, 0.96879792)","(14, 0.98139369)","(15, 0.84992814)","(16, 0.99451911)","(17, 0.99431783)","(18, 0.97367698)","(19, 0.50367731)","(20, 0.96356869)","(21, 0.99666387)","(22, 0.99783593)","(23, 0.99005818)","(24, 0.98632568)","(25, 0.98286247)","(26, 0.99335611)","(27, 0.76739621)","(28, 0.99594986)","(29, 0.98700571)","(30, 0.97133064)","(31, 0.87544978)","(32, 0.7536003)","(33, 0.99822026)","(34, 0.72948146)","(35, 0.47494543)","(36, 0.47769883)","(37, 0.48830143)","(38, 0.48303571)","(39, 0.97629404)","(40, 0.74314427)","(41, 0.92828828)","(42, 0.70504189)","(43, 0.71200788)","(44, 0.48390064)","(45, 0.52097011)","(46, 0.48520598)","(47, 0.62279117)","(48, 0.54731083)","(49, 0.97676831)","(50, 0.99418271)","(51, 0.44090316)","(52, 0.8300162)","(53, 0.98481256)","(54, 0.99732053)","(55, 0.9998914)","(56, 0.98129058)","(57, 0.99781615)","(58, 0.8437047)","(59, 0.99644184)","(60, 0.97980285)","(61, 0.99849415)","(62, 0.96548563)","(63, 0.95554423)","(64, 0.90366101)","(65, 0.53910834)","(66, 0.97713381)","(67, 0.98665273)","(68, 0.70183623)","(69, 0.99906129)","(70, 0.93335146)","(71, 0.98612702)","(72, 0.49962956)","(73, 0.48350394)","(74, 0.51809216)","(75, 0.50521713)","(76, 0.48393571)","(77, 0.48516801)","(78, 0.89139509)","(79, 0.88903475)","(80, 0.72279632)","(81, 0.99684644)","(82, 0.44094232)","(83, 0.50367343)","(84, 0.90167981)","(85, 0.70568424)","(86, 0.98149574)","(87, 0.48190787)","(88, 0.49716789)","(89, 0.47774729)","(90, 0.49391818)","(91, 0.55146533)","(92, 0.48130006)","(93, 0.48944741)","(94, 0.50908828)","(95, 0.9611609)","(96, 0.95027125)","(97, 0.7146247)","(98, 0.94567186)","(99, 0.94006968)","(100, 0.97518176)","(101, 0.59682173)","(102, 0.96289158)","(103, 0.91941476)"
"(0, 0.94226992)","(1, 0.5340457)","(2, 0.95735943)","(3, 0.88981819)","(4, 0.88893259)","(5, 0.99006057)","(6, 0.9720037)","(7, 0.97238016)","(8, 0.95363253)","(9, 0.96207798)","(10, 0.98104572)","(11, 0.54423183)","(12, 0.94495708)","(13, 0.97941041)","(14, 0.91481549)","(15, 0.97448438)","(16, 0.97179759)","(17, 0.96518242)","(18, 0.89068514)","(19, 0.7571041)","(20, 0.97994417)","(21, 0.92822742)","(22, 0.95428324)","(23, 0.98135483)","(24, 0.94856519)","(25, 0.94013041)","(26, 0.9115743)","(27, 0.93415892)","(28, 0.96866)","(29, 0.98532581)","(30, 0.98643756)","(31, 0.9845711)","(32, 0.59164113)","(33, 0.96335226)","(34, 0.56148142)","(35, 0.35069609)","(36, 0.35304785)","(37, 0.36619255)","(38, 0.35937718)","(39, 0.98924088)","(40, 0.57711059)","(41, 0.9931252)","(42, 0.53225887)","(43, 0.54047918)","(44, 0.35810632)","(45, 0.38986847)","(46, 0.36158729)","(47, 0.59295225)","(48, 0.43223268)","(49, 0.91402054)","(50, 0.97485113)","(51, 0.28076044)","(52, 0.96531105)","(53, 0.98726642)","(54, 0.95019954)","(55, 0.9430691)","(56, 0.9649353)","(57, 0.96077889)","(58, 0.97135818)","(59, 0.93144321)","(60, 0.96256959)","(61, 0.94278252)","(62, 0.97152334)","(63, 0.99885941)","(64, 0.85472882)","(65, 0.39994863)","(66, 0.96298242)","(67, 0.90098792)","(68, 0.52750665)","(69, 0.95845902)","(70, 0.83049548)","(71, 0.89153892)","(72, 0.36350477)","(73, 0.34908456)","(74, 0.39597422)","(75, 0.36739963)","(76, 0.35429361)","(77, 0.35781962)","(78, 0.77378964)","(79, 0.77862185)","(80, 0.55182785)","(81, 0.96625876)","(82, 0.28080887)","(83, 0.75709975)","(84, 0.96606565)","(85, 0.53311175)","(86, 0.96142709)","(87, 0.35434258)","(88, 0.36573982)","(89, 0.34751475)","(90, 0.36380491)","(91, 0.41865039)","(92, 0.350371)","(93, 0.3642745)","(94, 0.38608044)","(95, 0.94222122)","(96, 0.99429786)","(97, 0.54313123)","(98, 0.9813869)","(99, 0.87455779)","(100, 0.99417651)","(101, 0.43520114)","(102, 0.98935741)","(103, 0.78534287)"
