"(0, 0.51516497)","(1, 0.0099932263)","(2, 0.0045125112)","(3, 0.0096903276)","(4, 0.0068286657)","(5, 0.0033151181)","(6, 0.0099917445)","(7, 0.0090483753)","(8, 0.0089359609)","(9, 0.018442638)","(10, 0.0084717404)","(11, 0.0070909145)","(12, 0.017492935)","(13, 0.0053707398)","(14, 0.010845672)","(15, 0.035212349)","(16, 0.017679099)","(17, 0.029255813)","(18, 0.011889003)","(19, 0.033564553)","(20, 0.016079571)","(21, 0.021453694)","(22, 0.024912111)","(23, 0.01632506)","(24, 0.0095981583)","(25, 0.014383255)","(26, 0.010085298)","(27, 0.005631207)","(28, 0.025451656)","(29, 0.04923816)","(30, 0.044944342)","(31, 0.022171956)","(32, 0.01971475)","(33, 0.017785987)","(34, 0.0066766893)","(35, 0.017911796)","(36, 0.012755116)","(37, 0.0054915696)","(38, 0.032508887)","(39, 0.0082721617)","(40, 0.0064774025)","(41, 0.01031343)","(42, 0.0067348075)","(43, 0.01165838)","(44, 0.01462258)","(45, 0.0064229527)","(46, 0.0049152318)","(47, 0.009648053)","(48, 0.0050384537)","(49, 0.024924532)","(50, 0.0051359818)","(51, 0.007716225)","(52, 0.0028751069)","(53, 0.0071691368)","(54, 0.0076183965)","(55, 0.013104378)","(56, 0.045498051)","(57, 0.053035535)","(58, 0.0096678827)","(59, 0.0064104516)","(60, 0.0062340843)","(61, 0.0039279442)","(62, 0.0041669989)","(63, 0.0039086659)","(64, 0.0039032332)","(65, 0.010617098)","(66, 0.014349196)","(67, 0.0057912897)","(68, 0.0057302024)","(69, 0.0084308693)","(70, 0.0038008548)","(71, 0.030227678)","(72, 0.012177769)","(73, 0.011638265)","(74, 0.010004805)","(75, 0.016553707)","(76, 0.017533854)","(77, 0.012494761)","(78, 0.0060432334)","(79, 0.0057268771)","(80, 0.0083611635)","(81, 0.0047895699)","(82, 0.0077203903)","(83, 0.033548441)","(84, 0.0054088421)","(85, 0.0092775747)","(86, 0.012361462)","(87, 0.0077623203)","(88, 0.0060781813)","(89, 0.0051284642)","(90, 0.011065401)","(91, 0.0051723281)","(92, 0.0064016599)","(93, 0.0077385046)","(94, 0.011696033)","(95, 0.0088166595)","(96, 0.0093293525)","(97, 0.0099857543)","(98, 0.0071279113)","(99, 0.0052152635)","(100, 0.0072308555)","(101, 0.0077752378)","(102, 0.0044589536)","(103, 0.0060826307)"
"(0, 0.015139434)","(1, 0.68471873)","(2, 0.0033591075)","(3, 0.0092763063)","(4, 0.0045911595)","(5, 0.0036137672)","(6, 0.0061098235)","(7, 0.0057205493)","(8, 0.0058723111)","(9, 0.0031728379)","(10, 0.020846395)","(11, 0.20602982)","(12, 0.0091512632)","(13, 0.0053722309)","(14, 0.0058023348)","(15, 0.018135369)","(16, 0.019296329)","(17, 0.016925842)","(18, 0.015539368)","(19, 0.0072945193)","(20, 0.013132599)","(21, 0.015347885)","(22, 0.015767861)","(23, 0.012371771)","(24, 0.0084579699)","(25, 0.0097664781)","(26, 0.018415371)","(27, 0.0024056649)","(28, 0.015592616)","(29, 0.023090437)","(30, 0.015739843)","(31, 0.0078106681)","(32, 0.11183053)","(33, 0.01258729)","(34, 0.082860202)","(35, 0.005165589)","(36, 0.0047476208)","(37, 0.0042807856)","(38, 0.0079270368)","(39, 0.0022356417)","(40, 0.082990162)","(41, 0.0080895908)","(42, 0.11571847)","(43, 0.28131303)","(44, 0.0067413868)","(45, 0.0044569434)","(46, 0.0042077848)","(47, 0.0044362363)","(48, 0.0051469356)","(49, 0.011721553)","(50, 0.0032616984)","(51, 0.0065445085)","(52, 0.0022141326)","(53, 0.0042424975)","(54, 0.0052647321)","(55, 0.0082903514)","(56, 0.016335793)","(57, 0.016366392)","(58, 0.0057653198)","(59, 0.0046633864)","(60, 0.0052271336)","(61, 0.0039243195)","(62, 0.0039137718)","(63, 0.004393681)","(64, 0.003565676)","(65, 0.0060601193)","(66, 0.010554766)","(67, 0.0043936912)","(68, 0.11131102)","(69, 0.0067829438)","(70, 0.0034385554)","(71, 0.013446109)","(72, 0.0066630309)","(73, 0.0056124115)","(74, 0.0046485579)","(75, 0.005590531)","(76, 0.0084225927)","(77, 0.006357749)","(78, 0.0043254513)","(79, 0.0030133461)","(80, 0.25117904)","(81, 0.0032172385)","(82, 0.0065526133)","(83, 0.0072619519)","(84, 0.0036811724)","(85, 0.17338623)","(86, 0.004840482)","(87, 0.0050548268)","(88, 0.0041608824)","(89, 0.0031637806)","(90, 0.0057285093)","(91, 0.0029378077)","(92, 0.0046162219)","(93, 0.0047833864)","(94, 0.0031942322)","(95, 0.0067426455)","(96, 0.0071072518)","(97, 0.18509266)","(98, 0.0049590291)","(99, 0.0079299109)","(100, 0.00587059)","(101, 0.0085865567)","(102, 0.0041453382)","(103, 0.0040914444)"
"(0, 0.0075127101)","(1, 0.0036914633)","(2, 0.69798476)","(3, 0.0092007071)","(4, 0.0040196227)","(5, 0.0049257958)","(6, 0.0040056305)","(7, 0.0045416378)","(8, 0.0075112088)","(9, 0.0029480795)","(10, 0.0062005287)","(11, 0.004183704)","(12, 0.010160008)","(13, 0.0039914334)","(14, 0.0039179707)","(15, 0.02463156)","(16, 0.017531997)","(17, 0.017764121)","(18, 0.015452706)","(19, 0.0069669886)","(20, 0.0091943312)","(21, 0.017830918)","(22, 0.0093442071)","(23, 0.017511956)","(24, 0.0092431791)","(25, 0.0068699438)","(26, 0.0055277096)","(27, 0.002887242)","(28, 0.028556202)","(29, 0.018003715)","(30, 0.022156591)","(31, 0.012788248)","(32, 0.01057957)","(33, 0.01293404)","(34, 0.0037246742)","(35, 0.0069305049)","(36, 0.004665643)","(37, 0.0040501622)","(38, 0.0063612536)","(39, 0.0037988175)","(40, 0.0064182961)","(41, 0.0062699122)","(42, 0.0065000183)","(43, 0.0088606849)","(44, 0.008154694)","(45, 0.0035886811)","(46, 0.0058088005)","(47, 0.0055606281)","(48, 0.0046487697)","(49, 0.0099837948)","(50, 0.0042201411)","(51, 0.014161387)","(52, 0.0027244459)","(53, 0.0043308837)","(54, 0.0057086921)","(55, 0.012180402)","(56, 0.016789049)","(57, 0.014463886)","(58, 0.0091852369)","(59, 0.0044810772)","(60, 0.0054027517)","(61, 0.0034467215)","(62, 0.0044819089)","(63, 0.012457887)","(64, 0.0028878716)","(65, 0.0056177559)","(66, 0.0092250314)","(67, 0.0037264042)","(68, 0.0049889735)","(69, 0.011762022)","(70, 0.0038808084)","(71, 0.021591714)","(72, 0.0096756099)","(73, 0.0078324415)","(74, 0.010311227)","(75, 0.0088900849)","(76, 0.012528748)","(77, 0.010100072)","(78, 0.0057140132)","(79, 0.0044129705)","(80, 0.02006723)","(81, 0.0051594558)","(82, 0.014166973)","(83, 0.0069168778)","(84, 0.0051597962)","(85, 0.0050565545)","(86, 0.0085643036)","(87, 0.007841533)","(88, 0.0031364535)","(89, 0.042237893)","(90, 0.0050010374)","(91, 0.0060302028)","(92, 0.005606018)","(93, 0.0083896071)","(94, 0.0035455702)","(95, 0.0063772043)","(96, 0.009934105)","(97, 0.0080042034)","(98, 0.0054869056)","(99, 0.005238439)","(100, 0.0063756411)","(101, 0.0045119021)","(102, 0.0045948126)","(103, 0.0057373741)"
"(0, 0.010423623)","(1, 0.0065864497)","(2, 0.0059446031)","(3, 0.46982199)","(4, 0.0049707978)","(5, 0.0065286681)","(6, 0.005595501)","(7, 0.0053850412)","(8, 0.0059107849)","(9, 0.005583371)","(10, 0.012644283)","(11, 0.0051169721)","(12, 0.012220403)","(13, 0.0063448763)","(14, 0.010676099)","(15, 0.019083137)","(16, 0.01720738)","(17, 0.021714251)","(18, 0.015115542)","(19, 0.0085433936)","(20, 0.019214278)","(21, 0.030594887)","(22, 0.01408639)","(23, 0.019790735)","(24, 0.011546044)","(25, 0.011380406)","(26, 0.0086140912)","(27, 0.0032094764)","(28, 0.017204382)","(29, 0.01908718)","(30, 0.019992037)","(31, 0.011753729)","(32, 0.020850299)","(33, 0.018065216)","(34, 0.0054454743)","(35, 0.0068790899)","(36, 0.0063019786)","(37, 0.0064639943)","(38, 0.010623368)","(39, 0.0047996184)","(40, 0.0076176841)","(41, 0.0093438514)","(42, 0.0079364926)","(43, 0.025612295)","(44, 0.01523333)","(45, 0.0056044972)","(46, 0.0052970313)","(47, 0.0084333979)","(48, 0.0050694589)","(49, 0.019576382)","(50, 0.0087100733)","(51, 0.0073705912)","(52, 0.0031589826)","(53, 0.0078494204)","(54, 0.010765175)","(55, 0.018314052)","(56, 0.023805982)","(57, 0.016172359)","(58, 0.017955754)","(59, 0.0065909438)","(60, 0.006886946)","(61, 0.0051458646)","(62, 0.0077446727)","(63, 0.0079194382)","(64, 0.0045718336)","(65, 0.0077179084)","(66, 0.016302807)","(67, 0.0078507848)","(68, 0.0058026216)","(69, 0.010335721)","(70, 0.0055013858)","(71, 0.021051805)","(72, 0.0080714561)","(73, 0.007050111)","(74, 0.0056868331)","(75, 0.0056654485)","(76, 0.013171654)","(77, 0.0081847114)","(78, 0.014180064)","(79, 0.0065189945)","(80, 0.010535903)","(81, 0.0070470599)","(82, 0.0073783733)","(83, 0.0084692109)","(84, 0.0058860881)","(85, 0.0077615213)","(86, 0.011473699)","(87, 0.0076172603)","(88, 0.0067332843)","(89, 0.006003967)","(90, 0.010451769)","(91, 0.0061761336)","(92, 0.0093035959)","(93, 0.0069427621)","(94, 0.0053293603)","(95, 0.010263123)","(96, 0.0093950676)","(97, 0.01228744)","(98, 0.0088324957)","(99, 0.0072869826)","(100, 0.0069665289)","(101, 0.0097513115)","(102, 0.0040587797)","(103, 0.0068464098)"
"(0, 0.012289794)","(1, 0.0054541524)","(2, 0.0043452596)","(3, 0.0083167702)","(4, 0.81408709)","(5, 0.0033783717)","(6, 0.0049442421)","(7, 0.0051240409)","(8, 0.0055732317)","(9, 0.0036619511)","(10, 0.0068433229)","(11, 0.0088644326)","(12, 0.01185116)","(13, 0.0047342833)","(14, 0.0058880546)","(15, 0.021572465)","(16, 0.019489277)","(17, 0.021508113)","(18, 0.030028945)","(19, 0.0098265484)","(20, 0.012129955)","(21, 0.018243955)","(22, 0.011876717)","(23, 0.01517981)","(24, 0.010043001)","(25, 0.011080351)","(26, 0.0067329919)","(27, 0.0036377611)","(28, 0.017743859)","(29, 0.019987261)","(30, 0.027535886)","(31, 0.011629372)","(32, 0.011422987)","(33, 0.015603026)","(34, 0.004605487)","(35, 0.0098734666)","(36, 0.0094260247)","(37, 0.0075204186)","(38, 0.013037734)","(39, 0.0036160671)","(40, 0.0082803024)","(41, 0.0087217949)","(42, 0.009675093)","(43, 0.01948864)","(44, 0.0095443428)","(45, 0.006478407)","(46, 0.0059701307)","(47, 0.0062657031)","(48, 0.0053837989)","(49, 0.012664394)","(50, 0.0060228463)","(51, 0.007306762)","(52, 0.0032547219)","(53, 0.0041091423)","(54, 0.0068007098)","(55, 0.011724478)","(56, 0.018700816)","(57, 0.015499638)","(58, 0.010119431)","(59, 0.0051228702)","(60, 0.0074150176)","(61, 0.0047431095)","(62, 0.006103361)","(63, 0.0044594114)","(64, 0.0038576457)","(65, 0.0065004379)","(66, 0.012193762)","(67, 0.0055109467)","(68, 0.0054205824)","(69, 0.0088475952)","(70, 0.0044269767)","(71, 0.020718243)","(72, 0.010424743)","(73, 0.0071668201)","(74, 0.0065238466)","(75, 0.0088372212)","(76, 0.011473049)","(77, 0.0065795928)","(78, 0.0068641477)","(79, 0.0046827504)","(80, 0.0094387969)","(81, 0.0047582518)","(82, 0.0073134969)","(83, 0.0097915083)","(84, 0.006175396)","(85, 0.0061813286)","(86, 0.00764558)","(87, 0.0080585135)","(88, 0.0049987789)","(89, 0.0067710192)","(90, 0.0084835701)","(91, 0.0050287079)","(92, 0.0061745932)","(93, 0.0062411269)","(94, 0.0050392132)","(95, 0.0097710947)","(96, 0.0073907846)","(97, 0.0091609098)","(98, 0.0082990853)","(99, 0.0058411211)","(100, 0.0059196139)","(101, 0.0083623342)","(102, 0.0054798839)","(103, 0.0060826004)"
"(0, 0.0068709301)","(1, 0.0049439357)","(2, 0.0061321734)","(3, 0.01257943)","(4, 0.0038905868)","(5, 0.82776415)","(6, 0.0033267257)","(7, 0.0026392909)","(8, 0.007326331)","(9, 0.0028515465)","(10, 0.0061694654)","(11, 0.00367758)","(12, 0.0084255664)","(13, 0.0024352623)","(14, 0.011207867)","(15, 0.029651348)","(16, 0.021842347)","(17, 0.013978297)","(18, 0.010556743)","(19, 0.0056953887)","(20, 0.0086115077)","(21, 0.013388897)","(22, 0.011185464)","(23, 0.012438659)","(24, 0.0051129377)","(25, 0.0050503551)","(26, 0.0060755964)","(27, 0.0023786228)","(28, 0.015848998)","(29, 0.01175883)","(30, 0.014638525)","(31, 0.0080968095)","(32, 0.012941185)","(33, 0.010686282)","(34, 0.0036542241)","(35, 0.0053483685)","(36, 0.0036221601)","(37, 0.0058124103)","(38, 0.0085747819)","(39, 0.0022758176)","(40, 0.0089944974)","(41, 0.01133813)","(42, 0.0033237396)","(43, 0.0059707942)","(44, 0.0048462339)","(45, 0.0037454451)","(46, 0.0052056448)","(47, 0.010649599)","(48, 0.004548775)","(49, 0.012128768)","(50, 0.0029129451)","(51, 0.0077135945)","(52, 0.0026186879)","(53, 0.008081995)","(54, 0.0066450289)","(55, 0.0075882757)","(56, 0.019861013)","(57, 0.010413374)","(58, 0.038158979)","(59, 0.0031663314)","(60, 0.0044781328)","(61, 0.002589663)","(62, 0.0031172261)","(63, 0.0051295534)","(64, 0.00392295)","(65, 0.005561071)","(66, 0.013859936)","(67, 0.0045938808)","(68, 0.0036214516)","(69, 0.0068054264)","(70, 0.0026972876)","(71, 0.015950777)","(72, 0.0080062123)","(73, 0.0068867574)","(74, 0.0072029843)","(75, 0.0071221078)","(76, 0.007841601)","(77, 0.010187892)","(78, 0.0036811733)","(79, 0.0026892319)","(80, 0.0065498357)","(81, 0.003398689)","(82, 0.0077251)","(83, 0.0056393212)","(84, 0.0049676611)","(85, 0.0045339894)","(86, 0.0068316171)","(87, 0.008688963)","(88, 0.0045422115)","(89, 0.004275132)","(90, 0.0064678281)","(91, 0.0046314793)","(92, 0.004660937)","(93, 0.0060880193)","(94, 0.0030330315)","(95, 0.0058865002)","(96, 0.0050272178)","(97, 0.0058404179)","(98, 0.0062727802)","(99, 0.0035134833)","(100, 0.0054582683)","(101, 0.0036445111)","(102, 0.0053814445)","(103, 0.0029294179)"
"(0, 0.01596754)","(1, 0.0064449781)","(2, 0.0038449359)","(3, 0.0083129583)","(4, 0.0043902337)","(5, 0.0025650582)","(6, 0.64523625)","(7, 0.010759015)","(8, 0.0054811798)","(9, 0.0032114256)","(10, 0.0096179722)","(11, 0.0069801286)","(12, 0.022777835)","(13, 0.0078411857)","(14, 0.011785356)","(15, 0.025752919)","(16, 0.015832217)","(17, 0.015847975)","(18, 0.014217338)","(19, 0.017879505)","(20, 0.014460756)","(21, 0.024081383)","(22, 0.019967806)","(23, 0.015661502)","(24, 0.0098658809)","(25, 0.017118732)","(26, 0.015660498)","(27, 0.0033993337)","(28, 0.033082407)","(29, 0.027869813)","(30, 0.023336535)","(31, 0.010227251)","(32, 0.028016774)","(33, 0.018835565)","(34, 0.0046703713)","(35, 0.0074308901)","(36, 0.0063529606)","(37, 0.0068713622)","(38, 0.013329845)","(39, 0.0043781875)","(40, 0.005744447)","(41, 0.0090165166)","(42, 0.0077294167)","(43, 0.0099747051)","(44, 0.008434901)","(45, 0.0071679424)","(46, 0.00834597)","(47, 0.010894677)","(48, 0.0051112082)","(49, 0.028781809)","(50, 0.0053627049)","(51, 0.010071288)","(52, 0.0065129814)","(53, 0.0064145885)","(54, 0.011086327)","(55, 0.010578167)","(56, 0.025352165)","(57, 0.042394418)","(58, 0.0083915712)","(59, 0.0082351565)","(60, 0.062659569)","(61, 0.0042110872)","(62, 0.0073340288)","(63, 0.0052061635)","(64, 0.0038752668)","(65, 0.010031553)","(66, 0.014041187)","(67, 0.0067408578)","(68, 0.00545072)","(69, 0.0084354123)","(70, 0.0043217409)","(71, 0.01864163)","(72, 0.010088748)","(73, 0.011433845)","(74, 0.0064946306)","(75, 0.0079307863)","(76, 0.014200571)","(77, 0.0082306499)","(78, 0.0048727333)","(79, 0.00524964)","(80, 0.011376918)","(81, 0.0039455034)","(82, 0.010079511)","(83, 0.017881369)","(84, 0.005413671)","(85, 0.0084417621)","(86, 0.0096493633)","(87, 0.012370823)","(88, 0.0067495946)","(89, 0.0062076407)","(90, 0.0075554485)","(91, 0.0046026083)","(92, 0.0058317562)","(93, 0.0058180448)","(94, 0.0048103854)","(95, 0.014831275)","(96, 0.014407243)","(97, 0.011757706)","(98, 0.010660942)","(99, 0.005911089)","(100, 0.0057334313)","(101, 0.0090465909)","(102, 0.0040770518)","(103, 0.0046944399)"
"(0, 0.014886867)","(1, 0.0062125027)","(2, 0.0044881431)","(3, 0.0082364772)","(4, 0.0046842103)","(5, 0.0020950935)","(6, 0.011076657)","(7, 0.71810734)","(8, 0.0079869786)","(9, 0.0033048631)","(10, 0.0089138793)","(11, 0.0051748184)","(12, 0.014003762)","(13, 0.0058041653)","(14, 0.010792968)","(15, 0.091606446)","(16, 0.016187498)","(17, 0.015702175)","(18, 0.011288084)","(19, 0.0090644667)","(20, 0.015787231)","(21, 0.019890748)","(22, 0.020633338)","(23, 0.015055466)","(24, 0.0096192295)","(25, 0.013948083)","(26, 0.019595271)","(27, 0.0033898503)","(28, 0.033021718)","(29, 0.025651857)","(30, 0.018594723)","(31, 0.0084817205)","(32, 0.013044693)","(33, 0.015059805)","(34, 0.0052585285)","(35, 0.0064665349)","(36, 0.0059092818)","(37, 0.011308465)","(38, 0.0070708171)","(39, 0.0029115679)","(40, 0.0067142933)","(41, 0.0099846721)","(42, 0.0058916179)","(43, 0.010991804)","(44, 0.0066839894)","(45, 0.0055555361)","(46, 0.0051538981)","(47, 0.0050155437)","(48, 0.0052546719)","(49, 0.020428738)","(50, 0.0052971202)","(51, 0.0058611678)","(52, 0.0044041309)","(53, 0.0048325835)","(54, 0.0086718863)","(55, 0.014176492)","(56, 0.052027278)","(57, 0.025491942)","(58, 0.0068805311)","(59, 0.0063289343)","(60, 0.013465824)","(61, 0.0033801848)","(62, 0.0043567242)","(63, 0.0064617982)","(64, 0.052822787)","(65, 0.0091780229)","(66, 0.010684033)","(67, 0.0077772262)","(68, 0.0062723178)","(69, 0.0072001424)","(70, 0.0047108801)","(71, 0.056613639)","(72, 0.0071534021)","(73, 0.0066065276)","(74, 0.0038903975)","(75, 0.0093834829)","(76, 0.012893857)","(77, 0.0051829717)","(78, 0.0053079845)","(79, 0.0053572468)","(80, 0.012871521)","(81, 0.0044393004)","(82, 0.0058640083)","(83, 0.0090300525)","(84, 0.0040070969)","(85, 0.0090313423)","(86, 0.0070372033)","(87, 0.0069082724)","(88, 0.028836915)","(89, 0.0055498499)","(90, 0.0084818127)","(91, 0.0037897497)","(92, 0.0051111002)","(93, 0.0054278309)","(94, 0.0050132126)","(95, 0.013333476)","(96, 0.01482694)","(97, 0.017175708)","(98, 0.0059791254)","(99, 0.0052708001)","(100, 0.0054288041)","(101, 0.010537678)","(102, 0.0034421438)","(103, 0.0049767895)"
"(0, 0.015491004)","(1, 0.0067196032)","(2, 0.0078211371)","(3, 0.009525843)","(4, 0.0053682998)","(5, 0.0061278548)","(6, 0.0059458762)","(7, 0.0084156608)","(8, 0.7553941)","(9, 0.0040317392)","(10, 0.012631887)","(11, 0.007115012)","(12, 0.010076648)","(13, 0.0049040755)","(14, 0.0070212213)","(15, 0.02133338)","(16, 0.017313778)","(17, 0.021653451)","(18, 0.0159456)","(19, 0.012163848)","(20, 0.094375908)","(21, 0.024095906)","(22, 0.013993343)","(23, 0.022266019)","(24, 0.0079715587)","(25, 0.012431936)","(26, 0.016986396)","(27, 0.0035893493)","(28, 0.022308242)","(29, 0.037299301)","(30, 0.024433222)","(31, 0.012395392)","(32, 0.021925483)","(33, 0.015189298)","(34, 0.01038434)","(35, 0.0076779486)","(36, 0.0060737999)","(37, 0.0058660847)","(38, 0.0094840024)","(39, 0.0034842347)","(40, 0.013700576)","(41, 0.0157988)","(42, 0.0046514771)","(43, 0.0095201787)","(44, 0.0084463209)","(45, 0.0062504085)","(46, 0.0054384675)","(47, 0.0059396299)","(48, 0.0047321864)","(49, 0.017440679)","(50, 0.0076010316)","(51, 0.023354666)","(52, 0.0034625069)","(53, 0.0053225607)","(54, 0.016457239)","(55, 0.0087201484)","(56, 0.027400358)","(57, 0.01587734)","(58, 0.016586041)","(59, 0.00623701)","(60, 0.0051079104)","(61, 0.0027464272)","(62, 0.0037540966)","(63, 0.016509965)","(64, 0.0040652463)","(65, 0.0075263437)","(66, 0.012257247)","(67, 0.0086365975)","(68, 0.0047150888)","(69, 0.0084563326)","(70, 0.0035082162)","(71, 0.018094705)","(72, 0.0090815835)","(73, 0.0082793925)","(74, 0.021735333)","(75, 0.01060219)","(76, 0.014327087)","(77, 0.0085289776)","(78, 0.0052372641)","(79, 0.00609256)","(80, 0.012574071)","(81, 0.021725824)","(82, 0.023363695)","(83, 0.012038347)","(84, 0.0099433884)","(85, 0.011623967)","(86, 0.008941493)","(87, 0.0060160561)","(88, 0.010924041)","(89, 0.0055744275)","(90, 0.008553504)","(91, 0.01998632)","(92, 0.0069519188)","(93, 0.0064158887)","(94, 0.004430417)","(95, 0.057000116)","(96, 0.010872481)","(97, 0.0067916065)","(98, 0.0060868203)","(99, 0.0067051849)","(100, 0.0076990789)","(101, 0.0048333993)","(102, 0.02416156)","(103, 0.020277038)"
"(0, 0.037469029)","(1, 0.0042549409)","(2, 0.0035975766)","(3, 0.010545462)","(4, 0.0041338336)","(5, 0.0027952031)","(6, 0.0040827291)","(7, 0.0040810336)","(8, 0.0047250167)","(9, 0.79792476)","(10, 0.013559749)","(11, 0.0038738733)","(12, 0.011830162)","(13, 0.0050058109)","(14, 0.013170334)","(15, 0.012701852)","(16, 0.013968355)","(17, 0.012185671)","(18, 0.0089402832)","(19, 0.0065988661)","(20, 0.01015177)","(21, 0.013920581)","(22, 0.0081642615)","(23, 0.011999896)","(24, 0.0096233618)","(25, 0.0069772871)","(26, 0.0058222078)","(27, 0.0024168955)","(28, 0.011347086)","(29, 0.01349643)","(30, 0.016551582)","(31, 0.0093555776)","(32, 0.012169873)","(33, 0.014004417)","(34, 0.0047967583)","(35, 0.0052029872)","(36, 0.0045615849)","(37, 0.0044817072)","(38, 0.013834367)","(39, 0.004092901)","(40, 0.016427156)","(41, 0.012327792)","(42, 0.0036960794)","(43, 0.0079117157)","(44, 0.0085639302)","(45, 0.022895455)","(46, 0.011335749)","(47, 0.0063149063)","(48, 0.005294885)","(49, 0.025217565)","(50, 0.0080220224)","(51, 0.0050175083)","(52, 0.0026055649)","(53, 0.0036147812)","(54, 0.0079088369)","(55, 0.0076287757)","(56, 0.015924828)","(57, 0.012735422)","(58, 0.030150205)","(59, 0.0052981423)","(60, 0.0075911083)","(61, 0.0032836774)","(62, 0.0036975285)","(63, 0.0036378701)","(64, 0.0029453621)","(65, 0.0048275776)","(66, 0.010151221)","(67, 0.0054308837)","(68, 0.0050880252)","(69, 0.0082124639)","(70, 0.0042201495)","(71, 0.018656671)","(72, 0.0080956984)","(73, 0.007219682)","(74, 0.0045289798)","(75, 0.0061225756)","(76, 0.0064000282)","(77, 0.0068670292)","(78, 0.0061366078)","(79, 0.0055422662)","(80, 0.016825905)","(81, 0.0028379802)","(82, 0.0050197579)","(83, 0.0065359669)","(84, 0.0092651509)","(85, 0.006046189)","(86, 0.0065059466)","(87, 0.0060725678)","(88, 0.0033238239)","(89, 0.0039594583)","(90, 0.0075746523)","(91, 0.0049795327)","(92, 0.0057206475)","(93, 0.0071224435)","(94, 0.0038731161)","(95, 0.0085049998)","(96, 0.0069736172)","(97, 0.0070226011)","(98, 0.0071654972)","(99, 0.005178248)","(100, 0.056206554)","(101, 0.010150116)","(102, 0.0025645876)","(103, 0.0040520057)"
"(0, 0.010212277)","(1, 0.016587354)","(2, 0.0044895224)","(3, 0.014169811)","(4, 0.0045836126)","(5, 0.0035882352)","(6, 0.0072549894)","(7, 0.0065310663)","(8, 0.0087837465)","(9, 0.0080454862)","(10, 0.71049076)","(11, 0.0056145913)","(12, 0.018854154)","(13, 0.0044507524)","(14, 0.010000451)","(15, 0.07806927)","(16, 0.01608181)","(17, 0.015029643)","(18, 0.013174552)","(19, 0.021601357)","(20, 0.015020654)","(21, 0.019536508)","(22, 0.021376284)","(23, 0.022075104)","(24, 0.010047412)","(25, 0.0083413739)","(26, 0.0099561214)","(27, 0.0037480006)","(28, 0.01794876)","(29, 0.022842433)","(30, 0.022262283)","(31, 0.010393459)","(32, 0.018326741)","(33, 0.022543993)","(34, 0.0062961932)","(35, 0.0077837184)","(36, 0.0072213318)","(37, 0.012399103)","(38, 0.010592213)","(39, 0.0063552312)","(40, 0.0067844577)","(41, 0.01030327)","(42, 0.006497703)","(43, 0.017361075)","(44, 0.010353014)","(45, 0.0070348508)","(46, 0.0059407516)","(47, 0.009399836)","(48, 0.12508263)","(49, 0.019490244)","(50, 0.0060903654)","(51, 0.008493755)","(52, 0.022793146)","(53, 0.013532553)","(54, 0.011412067)","(55, 0.0093199546)","(56, 0.026933052)","(57, 0.03811983)","(58, 0.010155861)","(59, 0.006579746)","(60, 0.0099537103)","(61, 0.0045025004)","(62, 0.0053290683)","(63, 0.0078615658)","(64, 0.0044822777)","(65, 0.009587137)","(66, 0.072025493)","(67, 0.011520634)","(68, 0.005442413)","(69, 0.0084773805)","(70, 0.0045426725)","(71, 0.01865158)","(72, 0.0091710202)","(73, 0.0069445637)","(74, 0.0055167628)","(75, 0.0070744907)","(76, 0.012894409)","(77, 0.0069713318)","(78, 0.010565275)","(79, 0.0083043119)","(80, 0.0089960601)","(81, 0.0045547695)","(82, 0.0084975548)","(83, 0.021418285)","(84, 0.0067624548)","(85, 0.010673562)","(86, 0.0077484734)","(87, 0.0078475587)","(88, 0.0052024066)","(89, 0.0054512289)","(90, 0.0097776754)","(91, 0.005463135)","(92, 0.0091692731)","(93, 0.0068577146)","(94, 0.0051684743)","(95, 0.0092576407)","(96, 0.0099127032)","(97, 0.010055348)","(98, 0.0086572887)","(99, 0.04863736)","(100, 0.0065294248)","(101, 0.0052136462)","(102, 0.012469972)","(103, 0.0052343961)"
