"(0, -0.023513482006960251)","(1, 0.023344635966287382)","(2, 0.067991316570815363)"
"(0, -0.0098157758129859655)","(1, 0.41071661579111907)","(2, -0.029975457582431059)"
"(0, -0.0059626570383964289)","(1, 0.008828720132603031)","(2, 0.0058045666125327326)"
"(0, -0.0082133254017754936)","(1, 0.024433820192950251)","(2, 0.010215372414148226)"
"(0, -0.0060137298881501574)","(1, 0.014854810634868902)","(2, 0.005885911430685356)"
"(0, -0.0044766224835780062)","(1, 0.0074347263276730779)","(2, 0.0067170950694903737)"
"(0, -0.0091394911896507842)","(1, 0.013794891989252531)","(2, 0.027476718056671803)"
"(0, -0.0082878233304312966)","(1, 0.022593451922183018)","(2, 0.018350067427767403)"
"(0, -0.010059761555704094)","(1, 0.018299753590241264)","(2, 0.011325885774587253)"
"(0, -0.0065005329099138195)","(1, 0.011691719346436136)","(2, 0.0077709420268913774)"
"(0, -0.022110502965527051)","(1, 0.035359003168003569)","(2, 0.062818294609681857)"
"(0, -0.020164053927870525)","(1, 0.46396496058080161)","(2, -0.032153536403080343)"
"(0, -0.020673114173527515)","(1, 0.039567072149007586)","(2, 0.022861234668655618)"
"(0, -0.0056901226326796081)","(1, 0.012756189269916542)","(2, 0.010473174366540831)"
"(0, -0.0092171802436596759)","(1, 0.020751122660639259)","(2, 0.0097279610364665401)"
"(0, -0.033735439800018481)","(1, 0.061386245829746978)","(2, 0.11137241737692186)"
"(0, -0.022069445733743386)","(1, 0.034445368419084105)","(2, 0.025381327536369076)"
"(0, -0.020686708184874815)","(1, 0.035099516934082253)","(2, 0.024049051582337368)"
"(0, -0.025096634493895247)","(1, 0.059032591486509411)","(2, 0.02345088797289242)"
"(0, -0.034341414448266494)","(1, 0.056462857569587042)","(2, 0.98258445437516517)"
"(0, -0.013606398907990144)","(1, 0.031913555451069775)","(2, 0.02686905777335204)"
"(0, -0.027657287217362912)","(1, 0.045276240061405265)","(2, 0.02327413758255099)"
"(0, -0.025728469414766461)","(1, 0.03148633317258967)","(2, 0.021953589553649098)"
"(0, -0.029296786756908739)","(1, 0.044005078434611468)","(2, 0.036079755684308913)"
"(0, -0.020295553336344297)","(1, 0.019678363994111093)","(2, 0.015785233074683859)"
"(0, -0.0090946166471495542)","(1, 0.020658072955387453)","(2, 0.01171024603479757)"
"(0, -0.014688872166371176)","(1, 0.024371013490699842)","(2, 0.011076776041734905)"
"(0, -0.0041389620187756012)","(1, 0.0070203172577132412)","(2, 0.018441070805196053)"
"(0, -0.024648128572625938)","(1, 0.037899404868830457)","(2, 0.027208417419367276)"
"(0, -0.026711761624729286)","(1, 0.039562573262006337)","(2, 0.034115289179313772)"
"(0, -0.024138302141449675)","(1, 0.047842600985057632)","(2, 0.041805942019773917)"
"(0, -0.013487318563837667)","(1, 0.023259013802015824)","(2, 0.038434795427268409)"
"(0, -0.017677369759465766)","(1, 0.26832858373044127)","(2, -0.0042690345802111097)"
"(0, -0.025357062997410699)","(1, 0.035638604960348527)","(2, 0.025071502721840902)"
"(0, -0.0096332519692070902)","(1, 0.20789827359258764)","(2, -0.0098742979281795616)"
"(0, -0.64814316107113235)","(1, -0.028233621997523679)","(2, -0.020894610894456083)"
"(0, -0.57596425596764589)","(1, -0.023134269317015878)","(2, -0.018294484880283318)"
"(0, -0.3949380242300351)","(1, -0.013445147779645153)","(2, -0.0073177168903936609)"
"(0, -0.65567112846265763)","(1, -0.024004269727407657)","(2, -0.016981899601034568)"
"(0, -0.0060798673236262726)","(1, 0.010693574921302084)","(2, 0.0095538272325393671)"
"(0, -0.012945813064280515)","(1, 0.21225749942470787)","(2, -0.0071170463123384617)"
"(0, -0.016814853341628962)","(1, 0.035862974957934918)","(2, 0.041869121200098676)"
"(0, -0.010267771891256711)","(1, 0.41169856314026332)","(2, -0.031249780114735382)"
"(0, -0.02019045479346206)","(1, 0.64819293480959805)","(2, -0.044138381968275554)"
"(0, -0.61123867214933802)","(1, -0.019609623309992372)","(2, -0.019171643031096145)"
"(0, -0.28818569598354848)","(1, 0.004167586789769139)","(2, -0.0071518617777752824)"
"(0, -0.5980839351659023)","(1, -0.020653903522786989)","(2, -0.014672797782945503)"
"(0, -0.54783179665310655)","(1, -0.0095966412691031646)","(2, 0.18124593865277019)"
"(0, -0.2303714082435836)","(1, 0.0032994956671095173)","(2, 0.0080710865634150818)"
"(0, -0.020086309340070642)","(1, 0.04894986773790385)","(2, 0.023146105722767762)"
"(0, -0.0071454229171699357)","(1, 0.0097135581780712268)","(2, 0.0076996535259549964)"
"(0, -0.36660286280116788)","(1, -0.0035418793045354615)","(2, -0.056491094771299495)"
"(0, -0.004644246318192902)","(1, 0.0092315997404848558)","(2, 0.017714339427794174)"
"(0, -0.0082051013902458853)","(1, 0.012363733903129523)","(2, 0.010880596833289952)"
"(0, -0.0088059513730628942)","(1, 0.014619380508669365)","(2, 0.0088598238676798891)"
"(0, -0.014214457438977162)","(1, 0.020422344213376839)","(2, 0.012105205065125163)"
"(0, -0.023464802524342642)","(1, 0.050874927784321858)","(2, 0.035296904774472025)"
"(0, -0.024631104477745611)","(1, 0.038079561829312436)","(2, 0.025478511909182221)"
"(0, -0.015780740270860797)","(1, 0.030971991284532839)","(2, 0.05628460013225433)"
"(0, -0.008575032287192608)","(1, 0.010010710153927203)","(2, 0.0060284913281356683)"
"(0, -0.017100969420074663)","(1, 0.016090986115715199)","(2, 0.015082969197086115)"
"(0, -0.0073424601503918737)","(1, 0.011682375908983007)","(2, 0.0067285327814548693)"
"(0, -0.0078952289123378882)","(1, 0.019806618428828113)","(2, 0.015347323819499948)"
"(0, -0.0056950700165040429)","(1, 0.0090757137375594727)","(2, 0.010102405407625959)"
"(0, -0.021484384548378858)","(1, 0.010615057398956251)","(2, 0.01098362160589683)"
"(0, -0.33398919435235885)","(1, 0.01598656568210079)","(2, -0.012351771623104711)"
"(0, -0.021760951271320644)","(1, 0.050491976776766305)","(2, 0.034905159736453341)"
"(0, -0.015106044444608949)","(1, 0.015742535869563118)","(2, 0.0082839174635948067)"
"(0, -0.011758708722790345)","(1, 0.47540459003851809)","(2, -0.039044287092305903)"
"(0, -0.011882904178217541)","(1, 0.017055493849456923)","(2, 0.011426306268993078)"
"(0, -0.0097759785056901072)","(1, 0.0067063649653618818)","(2, 0.0034891229383947312)"
"(0, -0.039380859707510409)","(1, 0.043013301023346343)","(2, 0.020343287888431937)"
"(0, -0.46955760887922593)","(1, 0.00087419462650484086)","(2, -0.02403460657231794)"
"(0, -0.3925440132693524)","(1, -0.0067811270050796143)","(2, -0.021880726718955024)"
"(0, -0.24147445424900238)","(1, -0.00098823994953148352)","(2, -0.00033512723301724456)"
"(0, -0.28804606349810002)","(1, 0.0030446901365101609)","(2, -0.015182879238868595)"
"(0, -0.64921791643625515)","(1, -0.01645113335926917)","(2, -0.027334762696314255)"
"(0, -0.39704775996118935)","(1, -0.011170315465303053)","(2, -0.01388676252841938)"
"(0, -0.0080936081407427633)","(1, 0.037839932132555792)","(2, 0.0076035416573994119)"
"(0, -0.0055109645469387479)","(1, 0.028598385412098772)","(2, 0.0062765998019707493)"
"(0, -0.024715007224069198)","(1, 0.55236266328382622)","(2, -0.033001134898615919)"
"(0, -0.0058140805337097796)","(1, 0.0088475387844008761)","(2, 0.0062309135055122027)"
