原文: 第一章  燃烧  positive_prob: 0.551491  confidence: 0.003314  negative_prob: 0.448509  sentiment: 2.000000  
 原文:     1  positive_prob: 0.458396  confidence: 0.167930  negative_prob: 0.541604  sentiment: 1.000000  
 原文:     “当我转过身去，发现丈夫正戴着一张面具。那是一张银色金属制的毫无表情的面具，正好和丈夫消瘦的脸颊、脖子和眉间吻合。每当他想隐藏自己的情感时，总要戴上这张泛着耀眼银光的面具。他正直勾勾地盯着自己手里拿着的那个可怕的凶器……    ”  positive_prob: 0.397119  confidence: 0.117514  negative_prob: 0.602881  sentiment: 0.000000  
 原文:     当他正好读到这里时，忽然听见摩托车发动机的声音逐渐响起，他手拿着布拉德伯里的小说《火星编年史》站到窗前，偷偷将窗帘拉开了一条细缝。  positive_prob: 0.539648  confidence: 0.207047  negative_prob: 0.460352  sentiment: 1.000000  
 原文:     他的房间是在二楼的东北角。从东侧的窗户向左下方望去，可以看见北侧道路尽头的T字形路口。  positive_prob: 0.473508  confidence: 0.470168  negative_prob: 0.526492  sentiment: 1.000000  
 原文:     今天晚上只来了三辆摩托车，却有五个人，也就是说，有两辆摩托需要各载两个人。引擎声响彻夜空，仿佛是故意弄得那么难听以的。那些人又开始在这老地方聚集了。  positive_prob: 0.119934  confidence: 0.733480  negative_prob: 0.880066  sentiment: 0.000000  
 原文:     所说的老地方是指马路东边的尽头。那里是个公交站台，为了方便白天在那里候车的人，特意安置了长椅，还很体贴周到地在旁边放了一台卖饮料的自动售货机。骑摩托的年轻人坐在那里，像往常样起劲地大声闲聊着。  positive_prob: 0.944739  confidence: 0.877198  negative_prob: 0.055261  sentiment: 2.000000  
 原文:     他们并不是“暴走族”，乍一看，和普通的青年没什么两样，其中有两个人把头发染成了茶色，另一个人把裤子滑到了腰部以下。其余的两个人没什么惹眼的特征，只是有个人把头发留到了齐肩长。  positive_prob: 0.104383  confidence: 0.768038  negative_prob: 0.895617  sentiment: 0.000000  
 原文:     不过，他觉得这些人虽然外表很普通，但也不应该给予比“暴走族”更宽容的待遇。  positive_prob: 0.141251  confidence: 0.686108  negative_prob: 0.858749  sentiment: 0.000000  
 原文:     他打开了手里拿着的那本《火星编年史》，正读到“1999年2月”这一章。已经记不清这一章被重读过多少遍了，甚至都达到了可以部分背诵的程度。这样下去的话，他都不知道何年何月才能读完这本书。  positive_prob: 0.327351  confidence: 0.272553  negative_prob: 0.672649  sentiment: 0.000000  
 原文:     其中一个年轻人不知道说了些什么，引得其他人大声狂关。他们的笑声在整个寂静的街道里回响，而这个地方每到深夜，基本就没有车辆经过了。  positive_prob: 0.162524  confidence: 0.638836  negative_prob: 0.837476  sentiment: 0.000000  
 原文:     他离开窗边，把这本袖珍书放到桌子上，走到了屋角的电话旁。  positive_prob: 0.474990  confidence: 0.499807  negative_prob: 0.525010  sentiment: 1.000000  
 原文:     向井和彦把头发染成了茶色，从后面扎了起来，这么做是希望显得与众不同，哪怕只有一点点也好。  positive_prob: 0.667458  confidence: 0.261018  negative_prob: 0.332542  sentiment: 2.000000  
 原文:     他今年十九岁，一年半前高中毕业之后，在一家涂饰公司工作，时间上很受约束而且报酬很少，所以觉得很不满意，三个月前就辞职了。这一年多的时间里，他所赚的钱都被用来打游戏和买二手摩托车了。由于是同父母住在一起，所以生活上并不窘迫。可是父母认为他不务正业，难免总爱唠叨几句，这点令他非常厌烦，正因为不想和父母碰面，所以他每天不得不在外面徘徊，直至深夜。  positive_prob: 0.731642  confidence: 0.403648  negative_prob: 0.268358  sentiment: 2.000000  
 原文:     他嘴里叼着硬币站在自动售贷机前，投币后按下了“可乐’的按钮，随着“咕咚”一声  一大听可乐滚落了下来。  positive_prob: 0.118594  confidence: 0.736458  negative_prob: 0.881406  sentiment: 0.000000  
 原文:     取出可乐之后，他不经意地看了一眼自动售货机旁边，发现那里居然放着一个他平时从未见过的东西。  positive_prob: 0.288727  confidence: 0.358385  negative_prob: 0.711273  sentiment: 0.000000  
 原文:     那里先是摞起了四层装啤酒瓶的塑料箱，上面又放了一个破报纸包裹的运动背包大小的方形东西。和彦觉得很奇怪，这个自动售货机并不出售啤酒，这包东西到底是什么呢？  positive_prob: 0.040279  confidence: 0.910491  negative_prob: 0.959721  sentiment: 0.000000  
 原文:     不过他并没有太上心，打开了可乐，边喝边和朋友们闭谈起来。那四个人正在谈论最近在闹市区结识的女高中生，话题最后落到哪个女孩看起来更容易上床这个问题上。  positive_prob: 0.265292  confidence: 0.410463  negative_prob: 0.734708  sentiment: 0.000000  
 原文:     对和彦而言，另外这四个人也算不上什么真正的朋友，他并不需要那种令人厌烦的关系，仅仅是能够在一起玩乐就已经足够了，就连他自己也觉得在这种关系如果更进一步，其实是件苦恼的事。  positive_prob: 0.647709  confidence: 0.217130  negative_prob: 0.352291  sentiment: 2.000000  
 原文:     其中一个叫山下良介的，开始大谈最近他如何和女友厮混的事。留着长发的他是个高傲自大的家伙。他有个习惯性动作，爱边说话边用手向后拢头发。和彦站在自己的摩托车旁边，听他吹牛皮，其余的三个人中有两个人坐在长椅上，一个跨坐在摩托车上。  positive_prob: 0.859984  confidence: 0.688854  negative_prob: 0.140016  sentiment: 2.000000  
 原文:     “然后我们进了房间，她说当然要用套喽。我呢，因为想直接做所以一直在那里装傻，没想到那女的手里却拿着安全套，没办法我只好套上了。不过在那之前我用指甲把套弄破了一点儿，这样一来不就和直接做一样了嘛！她还以为用了安全套所以挺放心。纵情的时候破洞露了出来，那女的事后唠叨我半天，我厉声告诉她：那玩意儿破了是谁也没办往的事情，最后我胡乱编了个名字和电话号码告诉她了。”  positive_prob: 0.052391  confidence: 0.883576  negative_prob: 0.947609  sentiment: 0.000000  
 原文:     山下良介想必是把这段风流韵事作为自己的荣耀才大讲特讲的，他显得比平明更加得意洋洋了。  positive_prob: 0.589627  confidence: 0.088060  negative_prob: 0.410373  sentiment: 2.000000  
 原文:     “是在白天做的吧！”  positive_prob: 0.413281  confidence: 0.081597  negative_prob: 0.586719  sentiment: 0.000000  
 原文:     “可能现在已经怀上了吧！”  positive_prob: 0.323361  confidence: 0.281421  negative_prob: 0.676639  sentiment: 0.000000  
